2026-08-09 20:02:35,556 | INFO | TEST | Logging system working
2026-08-09 22:21:19,116 | INFO | langchain_utils.retriever | Vector database loaded successfully.
2026-08-09 22:21:19,117 | INFO | langchain_utils.retriever | MMR retriever initialized successfully.
2026-08-09 22:21:19,117 | INFO | langchain_utils.retriever | Starting MMR retrieval.
2026-08-09 22:21:19,117 | INFO | langchain_utils.retriever | Query: Tell me about AURIS
2026-08-09 22:21:19,767 | INFO | httpx | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-001:batchEmbedContents "HTTP/1.1 200 OK"
2026-08-09 22:21:19,878 | INFO | langchain_utils.retriever | MMR retrieval completed. Retrieved 5 documents.
2026-08-09 22:21:19,878 | INFO | langchain_utils.retriever | Retrieved chunk 1 from source: Kumud_Salunke_Resume_nagarro.pdf
2026-08-09 22:21:19,878 | INFO | langchain_utils.retriever | Retrieved chunk 2 from source: Kumud_Salunke_Resume_nagarro.pdf
2026-08-09 22:21:19,879 | INFO | langchain_utils.retriever | Retrieved chunk 3 from source: Kumud_Salunke_Resume_nagarro.pdf
2026-08-09 22:21:19,879 | INFO | langchain_utils.retriever | Retrieved chunk 4 from source: Kumud_Salunke_Resume_nagarro.pdf
2026-08-09 22:21:19,879 | INFO | langchain_utils.retriever | Retrieved chunk 5 from source: Kumud_Salunke_Resume_nagarro.pdf
2026-08-09 22:21:19,881 | INFO | langchain_utils.retriever | Starting MMR retrieval.
2026-08-09 22:21:19,881 | INFO | langchain_utils.retriever | Query: What technologies did I use for AURIS?
2026-08-09 22:21:20,410 | INFO | httpx | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-001:batchEmbedContents "HTTP/1.1 200 OK"
2026-08-09 22:21:20,422 | INFO | langchain_utils.retriever | MMR retrieval completed. Retrieved 5 documents.
2026-08-09 22:21:20,423 | INFO | langchain_utils.retriever | Retrieved chunk 1 from source: Kumud_Salunke_Resume_nagarro.pdf
2026-08-09 22:21:20,423 | INFO | langchain_utils.retriever | Retrieved chunk 2 from source: Kumud_Salunke_Resume_nagarro.pdf
2026-08-09 22:21:20,423 | INFO | langchain_utils.retriever | Retrieved chunk 3 from source: Kumud_Salunke_Resume_nagarro.pdf
2026-08-09 22:21:20,423 | INFO | langchain_utils.retriever | Retrieved chunk 4 from source: Kumud_Salunke_Resume_nagarro.pdf
2026-08-09 22:21:20,423 | INFO | langchain_utils.retriever | Retrieved chunk 5 from source: Kumud_Salunke_Resume_nagarro.pdf
2026-08-09 22:21:20,425 | INFO | langchain_utils.retriever | Starting MMR retrieval.
2026-08-09 22:21:20,425 | INFO | langchain_utils.retriever | Query: What are the features of AURIS?
2026-08-09 22:21:20,899 | INFO | httpx | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-001:batchEmbedContents "HTTP/1.1 200 OK"
2026-08-09 22:21:20,910 | INFO | langchain_utils.retriever | MMR retrieval completed. Retrieved 5 documents.
2026-08-09 22:21:20,910 | INFO | langchain_utils.retriever | Retrieved chunk 1 from source: Kumud_Salunke_Resume_nagarro.pdf
2026-08-09 22:21:20,910 | INFO | langchain_utils.retriever | Retrieved chunk 2 from source: Kumud_Salunke_Resume_nagarro.pdf
2026-08-09 22:21:20,910 | INFO | langchain_utils.retriever | Retrieved chunk 3 from source: Kumud_Salunke_Resume_nagarro.pdf
2026-08-09 22:21:20,910 | INFO | langchain_utils.retriever | Retrieved chunk 4 from source: Kumud_Salunke_Resume_nagarro.pdf
2026-08-09 22:21:20,911 | INFO | langchain_utils.retriever | Retrieved chunk 5 from source: Kumud_Salunke_Resume_nagarro.pdf
2026-08-09 22:21:20,912 | INFO | langchain_utils.retriever | Starting MMR retrieval.
2026-08-09 22:21:20,912 | INFO | langchain_utils.retriever | Query: Tell me about RetailSphere
2026-08-09 22:21:21,443 | INFO | httpx | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-001:batchEmbedContents "HTTP/1.1 200 OK"
2026-08-09 22:21:21,453 | INFO | langchain_utils.retriever | MMR retrieval completed. Retrieved 5 documents.
2026-08-09 22:21:21,453 | INFO | langchain_utils.retriever | Retrieved chunk 1 from source: Kumud_Salunke_Resume_nagarro.pdf
2026-08-09 22:21:21,453 | INFO | langchain_utils.retriever | Retrieved chunk 2 from source: Kumud_Salunke_Resume_nagarro.pdf
2026-08-09 22:21:21,453 | INFO | langchain_utils.retriever | Retrieved chunk 3 from source: Kumud_Salunke_Resume_nagarro.pdf
2026-08-09 22:21:21,453 | INFO | langchain_utils.retriever | Retrieved chunk 4 from source: Kumud_Salunke_Resume_nagarro.pdf
2026-08-09 22:21:21,454 | INFO | langchain_utils.retriever | Retrieved chunk 5 from source: Kumud_Salunke_Resume_nagarro.pdf
2026-08-09 22:21:21,455 | INFO | langchain_utils.retriever | Starting MMR retrieval.
2026-08-09 22:21:21,455 | INFO | langchain_utils.retriever | Query: How many records did RetailSphere process?
